"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2025","240.80","240.37","242.07","238.00","26.77M","0.18%"
"09/11/2025","240.37","239.88","242.25","236.25","30.60M","0.50%"
"09/10/2025","239.17","238.90","241.66","237.85","35.14M","-0.19%"
"09/09/2025","239.63","234.16","240.47","233.23","38.06M","2.39%"
"09/08/2025","234.04","235.47","238.13","233.67","32.47M","-0.41%"
"09/05/2025","235.00","232.20","235.76","231.90","46.59M","1.16%"
"09/04/2025","232.30","229.65","232.37","226.11","51.68M","0.71%"
"09/03/2025","230.66","226.21","231.31","224.79","103.34M","9.14%"
"09/02/2025","211.35","208.44","211.68","206.20","47.52M","-0.73%"
"08/29/2025","212.91","210.51","214.65","210.20","39.73M","0.60%"
"08/28/2025","211.64","207.25","212.22","206.90","32.34M","2.01%"
"08/27/2025","207.48","205.70","208.91","205.65","23.02M","0.16%"
"08/26/2025","207.14","207.51","207.85","205.70","28.46M","-0.65%"
"08/25/2025","208.49","206.43","210.52","205.28","29.93M","1.16%"
"08/22/2025","206.09","202.73","208.54","201.30","42.83M","3.17%"
"08/21/2025","199.75","199.74","202.48","199.43","19.77M","0.22%"
"08/20/2025","199.32","200.73","201.28","196.60","28.96M","-1.12%"
"08/19/2025","201.57","203.03","203.44","199.96","24.24M","-0.95%"
"08/18/2025","203.50","204.20","205.26","202.49","18.53M","-0.20%"
"08/15/2025","203.90","203.85","206.44","201.28","34.93M","0.47%"
"08/14/2025","202.94","201.50","204.44","201.23","25.23M","0.49%"
