"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2025","509.90","506.65","512.55","503.85","23.62M","1.77%"
"09/11/2025","501.01","502.25","503.17","497.88","18.88M","0.13%"
"09/10/2025","500.37","502.98","503.23","496.72","21.61M","0.39%"
"09/09/2025","498.41","501.43","502.25","497.70","14.41M","0.04%"
"09/08/2025","498.20","498.11","501.20","495.03","16.77M","0.65%"
"09/05/2025","495.00","509.07","511.97","492.37","31.99M","-2.55%"
"09/04/2025","507.97","504.30","508.15","503.15","15.51M","0.52%"
"09/03/2025","505.35","503.79","507.79","502.32","16.35M","0.05%"
"09/02/2025","505.12","500.46","506.00","496.81","18.13M","-0.31%"
"08/29/2025","506.69","508.66","509.60","504.49","20.96M","-0.58%"
"08/28/2025","509.64","507.09","511.09","505.50","18.02M","0.57%"
"08/27/2025","506.74","502.00","507.29","499.90","17.28M","0.94%"
"08/26/2025","502.04","504.36","504.98","498.51","30.84M","-0.44%"
"08/25/2025","504.26","506.63","508.19","504.12","21.64M","-0.59%"
"08/22/2025","507.23","504.25","510.73","502.41","24.32M","0.59%"
"08/21/2025","504.24","503.69","507.63","502.72","18.44M","-0.29%"
"08/20/2025","505.72","509.86","511.00","504.44","27.72M","-0.79%"
"08/19/2025","509.77","515.00","515.16","508.55","21.48M","-1.42%"
"08/18/2025","517.10","521.59","522.82","514.02","23.76M","-0.59%"
"08/15/2025","520.17","522.77","526.10","519.08","25.21M","-0.44%"
"08/14/2025","522.48","522.56","525.95","520.14","20.27M","0.36%"
